LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
35.33277778,-111.5061111,2005,0.1,AZ
35.33861111,-111.5291667,2005,0.3,AZ
35.335,-111.5041667,2005,0.1,AZ
35.6875,-105.7091667,2005,0.1,NM
35.29166667,-111.625,2005,0.1,AZ
35.29555556,-105.2286111,2005,0.1,NM
35.81277778,-105.4988889,2005,0.25,NM
35.52888889,-105.6383333,2005,0.8,NM
35.29166667,-111.625,2005,0.1,AZ
35.60194444,-105.525,2005,0.1,NM
43.61638889,-103.6555556,2005,2,SD
44.155,-107.0241667,2005,0.1,WY
44.13555556,-107.4841667,2005,0.1,WY
44.04805556,-107.2794444,2005,0.1,WY
35.74305556,-105.8836111,2005,0.1,NM
43.59361111,-103.6225,2005,1,SD
35.67388889,-105.8311111,2005,0.1,NM
44.07583333,-107.3030556,2005,1,WY
43.84055556,-103.6263889,2005,0.1,SD
44.83833333,-122.1116667,2005,0.2,OR
44.35027778,-107.0125,2005,0.1,WY
44.06805556,-106.9711111,2005,0.1,WY
44.8275,-107.7066667,2005,0.1,WY
44.19694444,-106.9472222,2005,0.1,WY
38.68,-119.6358333,2005,0.1,CA
38.61194444,-119.6783333,2005,0.1,CA
35.05583333,-111.7358333,2005,0.1,AZ
35.25472222,-111.4433333,2005,0.6,AZ
35.94944444,-106.7155556,2005,0.5,NM
35.97194444,-106.8077778,2005,0.25,NM
36.01666667,-106.9833333,2005,0.1,NM
38.76444444,-106.0002778,2005,0.1,CO
40.65166667,-120.7766667,2005,0.1,CA
38.49277778,-106.0427778,2005,0.1,CO
38.72472222,-106.2683333,2005,0.5,CO
38.46861111,-106.0255556,2005,0.25,CO
40.41666667,-121.05,2005,0.01,CA
39.9875,-121.7863889,2005,2,CA
35.33972222,-111.5280556,2005,0.1,AZ
35.54555556,-111.8027778,2005,0.25,AZ
36.28416667,-106.6775,2005,5.6,NM
36.19722222,-106.7663889,2005,0.1,NM
36.19722222,-106.7663889,2005,0.1,NM
35.2625,-111.4625,2005,0.1,AZ
35.34277778,-111.5755556,2005,0.25,AZ
35.18333333,-111.4708333,2005,0.1,AZ
35.34583333,-111.55,2005,2.5,AZ
38.75638889,-105.5597222,2005,0.2,CO
42.74694444,-112.1402778,2005,0.1,ID
38.93583333,-105.3330556,2005,0.1,CO
38.92,-105.4319444,2005,0.01,CO
38.9875,-106.0038889,2005,0.01,CO
39.03861111,-105.4741667,2005,0.01,CO
35.31972222,-111.5913889,2005,0.1,AZ
35.34055556,-111.7477778,2005,0.1,AZ
35.13305556,-111.9808333,2005,0.1,AZ
35.4625,-111.425,2005,0.1,AZ
47.40888889,-94.07305556,2005,3.5,MN
35.45416667,-111.4333333,2005,0.1,AZ
35.06833333,-111.9405556,2005,0.5,AZ
36.18277778,-106.6775,2005,0.25,NM
47.07,-94.50472222,2005,0.1,MN
38.60222222,-119.7219444,2005,0.1,CA
35.06583333,-111.9491667,2005,0.25,AZ
43.20111111,-121.2211111,2005,0.1,OR
35.25388889,-111.7736111,2005,0.75,AZ
35.36055556,-111.6436111,2005,0.1,AZ
35.68805556,-118.4383333,2005,1149,CA
35.82722222,-118.2102778,2005,0.1,CA
35.96555556,-118.3175,2005,0.3,CA
47.11388889,-94.50138889,2005,0.1,MN
43.52638889,-121.9461111,2005,8,OR
47.1125,-94.50277778,2005,0.1,MN
36.04472222,-118.1572222,2005,0.1,CA
47.17305556,-114.5536111,2005,0.1,MT
38.86694444,-106.1011111,2005,0.25,CO
38.89777778,-105.9744444,2005,0.25,CO
39.57972222,-121.1252778,2005,0.2,CA
47.10916667,-94.50277778,2005,0.1,MN
47.1125,-94.50222222,2005,0.1,MN
47.06333333,-94.44166667,2005,0.1,MN
39.06,-119.53,2005,0.1,NV
47.10833333,-94.50388889,2005,0.2,MN
47.21138889,-94.20916667,2005,0.1,MN
47.03305556,-94.07,2005,0.1,MN
35.14361111,-111.8788889,2005,0.1,AZ
35.46194444,-111.795,2005,1,AZ
47.05222222,-94.24111111,2005,0.1,MN
35.10416667,-111.8625,2005,0.25,AZ
36.20944444,-106.7875,2005,0.1,NM
30.95388889,-93.07166667,2005,4,LA
36.21166667,-106.6775,2005,0.1,NM
31.44472222,-93.1225,2005,8,LA
44.28416667,-121.6047222,2005,0.1,OR
47.11333333,-94.54277778,2005,0.42,MN
34.78166667,-119.1483333,2005,0.1,CA
47.05388889,-94.20027778,2005,0.2,MN
47.06305556,-114.2752778,2005,4.8,MT
35.59583333,-100.0130556,2005,50,OK
43.49222222,-115.3041667,2005,0.1,ID
44.12666667,-110.9419444,2005,0.1,WY
33.93361111,-111.3797222,2005,1300,AZ
35.11666667,-108.0361111,2005,1.5,NM
33.935,-111.3111111,2005,0.1,AZ
34.97444444,-107.9913889,2005,0.25,NM
33.99555556,-111.2575,2005,50,AZ
36.01277778,-106.5852778,2005,0.9,NM
33.87111111,-111.0725,2005,730,AZ
33.8625,-111.1558333,2005,495,AZ
33.86583333,-111.0711111,2005,0.25,AZ
33.55111111,-111.1066667,2005,2093,AZ
41.25833333,-111.8497222,2005,0.1,UT
35.47638889,-118.7211111,2005,0.3,CA
42.58444444,-108.7602778,2005,0.1,WY
42.58666667,-108.8502778,2005,0.1,WY
34.22888889,-117.7683333,2005,0.1,CA
35.64833333,-118.4566667,2005,0.5,CA
35.65222222,-118.3566667,2005,69,CA
35.74722222,-118.4219444,2005,3.7,CA
45.06777778,-119.3363889,2005,0.1,OR
47.10277778,-94.63777778,2005,3,MN
47.10222222,-94.57527778,2005,0.1,MN
47.09583333,-94.54472222,2005,0.8,MN
34.06194444,-107.2102778,2005,0.1,NM
47.23611111,-94.20611111,2005,0.3,MN
47.16166667,-94.18,2005,0.5,MN
31.20277778,-92.66194444,2005,5,LA
30.92805556,-93.12805556,2005,25,LA
47.06194444,-94.59833333,2005,1.5,MN
44.66805556,-109.6783333,2005,0.1,WY
48.12111111,-91.14972222,2005,0.2,MN
